issue_url,issue_created_at,issue_closed_at,open_duration_days
https://github.com/flutter/flutter/issues/27609,2019-02-06 19:23:21,2023-11-27 19:12:34,1754
https://github.com/flutter/flutter/issues/42523,2019-10-11 12:40:42,2023-11-14 23:20:34,1495
https://github.com/flutter/flutter/issues/25928,2018-12-31 21:26:09,2023-11-12 13:41:02,1776
https://github.com/flutter/flutter/issues/13211,2017-11-27 18:11:49,2023-11-09 11:53:27,2172
https://github.com/flutter/flutter/issues/62596,2020-07-30 18:40:08,2023-11-03 19:32:57,1191
https://github.com/flutter/flutter/issues/39762,2019-09-03 18:16:55,2023-10-31 21:08:24,1519
https://github.com/flutter/flutter/issues/54665,2020-04-13 15:08:13,2023-10-27 17:22:15,1292
https://github.com/flutter/flutter/issues/33183,2019-05-22 13:31:41,2023-10-17 18:55:49,1609
https://github.com/flutter/flutter/issues/40505,2019-09-14 19:26:32,2023-09-14 03:39:59,1460
https://github.com/flutter/flutter/issues/55000,2020-04-16 23:57:21,2023-08-30 16:55:14,1230
https://github.com/flutter/flutter/issues/28543,2019-02-27 00:47:24,2023-08-29 19:49:53,1644
https://github.com/flutter/flutter/issues/52899,2020-03-19 18:23:57,2023-08-29 18:56:09,1258
https://github.com/flutter/flutter/issues/63812,2020-08-14 22:02:38,2023-08-25 18:28:38,1105
https://github.com/flutter/flutter/issues/638,2015-11-30 22:43:20,2023-08-17 23:45:59,2817
